date,query,count
2026-03-29,total,353557
2026-03-29,claude,16601
2026-03-29,codex,17070
2026-03-29,copilot,9529
2026-03-29,cursor,808
2026-03-29,devin,334
2026-03-29,jules,216
2026-03-29,amazonq,1
2026-03-29,opencode,47
