date,query,count
2025-01-13,total,3246988
2025-01-13,claude,1
2025-01-13,copilot,0
2025-01-13,devin,206
2025-01-13,aider,24
2025-01-13,codex,0
2025-01-13,opencode,0
2025-01-13,cursor_editor,2
2025-01-13,cursor_bg,0
2025-01-13,jules,0
2025-01-13,amazonq,0
