date,query,count
2026-01-26,total,5026687
2026-01-26,claude,130676
2026-01-26,copilot,15212
2026-01-26,devin,294
2026-01-26,aider,102
2026-01-26,codex,0
2026-01-26,opencode,90
2026-01-26,cursor_editor,139
2026-01-26,cursor_bg,0
2026-01-26,jules,4994
2026-01-26,amazonq,1
