date,query,count
2026-09-08,total,60787160
2026-09-08,claude,820815
2026-09-08,copilot,3018
2026-09-08,devin,704
2026-09-08,aider,173
2026-09-08,codex,9
2026-09-08,opencode,713
2026-09-08,cursor_editor,46494
2026-09-08,cursor_bg,15765
2026-09-08,jules,2020
2026-09-08,amazonq,18
2026-09-08,amp,471
2026-09-08,windsurf,3
2026-09-08,junie,60767587
