date,query,count
2026-05-03,total,6410035
2026-05-03,claude,312393
2026-05-03,copilot,10020
2026-05-03,devin,1333
2026-05-03,aider,135
2026-05-03,codex,1
2026-05-03,opencode,132
2026-05-03,cursor_editor,31964
2026-05-03,cursor_bg,1499
2026-05-03,jules,2381
2026-05-03,amazonq,5
2026-05-03,amp,83
2026-05-03,windsurf,4
2026-05-03,junie,0
