date,query,count
2026-08-19,total,6847436
2026-08-19,claude,641752
2026-08-19,copilot,2878
2026-08-19,devin,678
2026-08-19,aider,297
2026-08-19,codex,1
2026-08-19,opencode,466
2026-08-19,cursor_editor,50705
2026-08-19,cursor_bg,13488
2026-08-19,jules,1498
2026-08-19,amazonq,6
2026-08-19,amp,524
2026-08-19,windsurf,5
2026-08-19,junie,52970678
